,impression_uuid,tag
906,00000000-0000-0001-6270-570214671180,fclick
908,00000000-0000-0001-6270-570510091539,fclick
910,00000000-0000-0001-6270-340339611324,vcontent
912,00000000-0000-0001-6270-572608191903,fclick
913,00000000-0000-0001-6270-572499801325,fclick
916,00000000-0000-0001-6270-573646961629,fclick
918,00000000-0000-0001-6270-575087151408,fclick
920,00000000-0000-0001-6269-870721471712,vregistration
921,00000000-0000-0001-6270-576301661546,fclick
923,00000000-0000-0001-6270-061355111493,vregistration
924,00000000-0000-0001-6270-577940291476,fclick
927,00000000-0000-0001-6269-525131681605,vregistration
928,00000000-0000-0001-6270-579122721675,fclick
930,00000000-0000-0001-6270-581035361217,fclick
932,00000000-0000-0001-6269-744874861178,vregistration
933,00000000-0000-0001-6269-928102541212,registration
934,00000000-0000-0001-6270-581389761311,fclick
937,00000000-0000-0001-6270-581423581445,fclick
940,00000000-0000-0001-6270-582670361624,fclick
